dataset1,dataset2,Selectivity,Class, dataset1Cardinality, dataset2Cardinality, dataset1GridNPartitions, dataset2GridNPartitions,resultSJSize, BNLJMBRTests, BNLJjobsTimes, BNLJjobsTimesRelStdDev, BNLJsizeJoins, BNLJsizeJoinsRelStdDev,PBSMMBRTests, PBSMjobsTimes, PBSMjobsTimesRelStdDev, PBSMsizeJoins, PBSMsizeJoinsRelStdDev,DJMBRTests, DJjobsTimes, DJjobsTimesRelStdDev, DJsizeJoins, DJsizeJoinsRelStdDev,REPJMBRTests, REPJjobsTimes, REPJjobsTimesRelStdDev, REPJsizeJoins, REPJsizeJoinsRelStdDev
dataset-1012_e4_e8_r53.wkt.bz2,dataset-0022_e4_e8_r53.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r54.wkt.bz2,dataset-0022_e4_e8_r54.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r55.wkt.bz2,dataset-0022_e4_e8_r55.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r56.wkt.bz2,dataset-0022_e4_e8_r56.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r57.wkt.bz2,dataset-0022_e4_e8_r57.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r58.wkt.bz2,dataset-0022_e4_e8_r58.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r59.wkt.bz2,dataset-0022_e4_e8_r59.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r60.wkt.bz2,dataset-0022_e4_e8_r60.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r61.wkt.bz2,dataset-0022_e4_e8_r61.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r62.wkt.bz2,dataset-0022_e4_e8_r62.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r63.wkt.bz2,dataset-0022_e4_e8_r63.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r64.wkt.bz2,dataset-0022_e4_e8_r64.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r65.wkt.bz2,dataset-0022_e4_e8_r65.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r66.wkt.bz2,dataset-0022_e4_e8_r66.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r67.wkt.bz2,dataset-0022_e4_e8_r67.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r68.wkt.bz2,dataset-0022_e4_e8_r68.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r69.wkt.bz2,dataset-0022_e4_e8_r69.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r70.wkt.bz2,dataset-0022_e4_e8_r70.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r71.wkt.bz2,dataset-0022_e4_e8_r71.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r72.wkt.bz2,dataset-0022_e4_e8_r72.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r73.wkt.bz2,dataset-0022_e4_e8_r73.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r74.wkt.bz2,dataset-0022_e4_e8_r74.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r75.wkt.bz2,dataset-0022_e4_e8_r75.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r76.wkt.bz2,dataset-0022_e4_e8_r76.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r77.wkt.bz2,dataset-0022_e4_e8_r77.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r78.wkt.bz2,dataset-0022_e4_e8_r78.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r79.wkt.bz2,dataset-0022_e4_e8_r79.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4.wkt.bz2,dataset-0444_e4.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r80.wkt.bz2,dataset-0444_e4_r80.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r81.wkt.bz2,dataset-0444_e4_r81.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r82.wkt.bz2,dataset-0444_e4_r82.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r83.wkt.bz2,dataset-0444_e4_r83.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r84.wkt.bz2,dataset-0444_e4_r84.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r85.wkt.bz2,dataset-0444_e4_r85.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r86.wkt.bz2,dataset-0444_e4_r86.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r87.wkt.bz2,dataset-0444_e4_r87.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r88.wkt.bz2,dataset-0444_e4_r88.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r89.wkt.bz2,dataset-0444_e4_r89.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r90.wkt.bz2,dataset-0444_e4_r90.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r91.wkt.bz2,dataset-0444_e4_r91.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r92.wkt.bz2,dataset-0444_e4_r92.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r93.wkt.bz2,dataset-0444_e4_r93.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r94.wkt.bz2,dataset-0444_e4_r94.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r95.wkt.bz2,dataset-0444_e4_r95.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r96.wkt.bz2,dataset-0444_e4_r96.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r97.wkt.bz2,dataset-0444_e4_r97.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r98.wkt.bz2,dataset-0444_e4_r98.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r99.wkt.bz2,dataset-0444_e4_r99.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r100.wkt.bz2,dataset-0444_e4_r100.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r101.wkt.bz2,dataset-0444_e4_r101.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r102.wkt.bz2,dataset-0444_e4_r102.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r103.wkt.bz2,dataset-0444_e4_r103.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r104.wkt.bz2,dataset-0444_e4_r104.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r105.wkt.bz2,dataset-0444_e4_r105.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r106.wkt.bz2,dataset-0444_e4_r106.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r107.wkt.bz2,dataset-0444_e4_r107.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r108.wkt.bz2,dataset-0444_e4_r108.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r109.wkt.bz2,dataset-0444_e4_r109.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r110.wkt.bz2,dataset-0444_e4_r110.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r111.wkt.bz2,dataset-0444_e4_r111.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1758_e4_r112.wkt.bz2,dataset-0444_e4_r112.wkt.bz2,0.054659094,10,9915,366663,1,18,198711150,0,0,0,0,0,2.87881E+11,524.306,0,0,0,0,0,0,0,0,0,0,0,0,0
